query_key,query,case_id,group_id,gold_chunk,gold_standard,gold_locator,evidence_type,rewrite_status,source_ranks,fusion_rank,rerank_rank,outcome
f435e003b6f896581f2b575be93cacc8967cdbd854cb337b41a8e59b3494a14c,空载损耗和空载电流测量（例行试验） 空载损耗P₀（kW）：≤0.215,transformer-01-b8b08b984c56:7d19914bbb857d6a0a927ce2,required_1,7e5ae919e9327fd3bbbcce9b199107bc357cf9c9a16681b2692748c47b428587,GB/T 6451-2023,7,table,fallback,"{""lexical:production:table"": 1}",19,3,top8
f435e003b6f896581f2b575be93cacc8967cdbd854cb337b41a8e59b3494a14c,空载损耗和空载电流测量（例行试验） 空载损耗P₀（kW）：≤0.215,transformer-01-b8b08b984c56:7d19914bbb857d6a0a927ce2,required_1,e3deef2dc2419f9d368b0ae5076c2d105a070a626006c0d71b76ca33ea90c5f1,GB/T 6451-2023,3,table,fallback,{},,,not_recalled
f435e003b6f896581f2b575be93cacc8967cdbd854cb337b41a8e59b3494a14c,空载损耗和空载电流测量（例行试验） 空载损耗P₀（kW）：≤0.215,transformer-01-b8b08b984c56:7d19914bbb857d6a0a927ce2,required_1,6d16c01580146b5a6b99d36a796f14855dd26bbeee3645d33f0a69f3d70c5b2d,GB/T 6451-2023,1,table,fallback,{},,,not_recalled
439e5fa1c6c9babe3e25a4eef05315eef746f60ac306c80933add33a3bf9d92a,空载损耗和空载电流测量（例行试验） 空载电流I₀（%）：≤0.18（1+30%）,transformer-01-b8b08b984c56:b1eb0fbf3ae8f6cbf323f26f,required_1,0329b08e8d9848367281acb51c4a7a3fce0e85cf794d8efb13dd9304eb626d87,GB/T 25438-2010,1,table,fallback,"{""lexical:production:table"": 1}",18,40,reranked_below_30
a1dba5db2e8a827761bf4e0d8b890805ec794ed3ff2de00e64d9e4b31fed7fbd,短路阻抗和负载损耗测量（例行试验） 参考温度（℃）：75,transformer-01-b8b08b984c56:91909574adfe75a5956e3fe8,required_1,b407d9ae836c6e33312cc7806a876bdd78daa3cc128bc5bdf5d2197a66aaefce,GB/T 1094.1-2013,11.1,section,fallback,"{""lexical:production:section"": 30}",106,6,top8
7fcd4dd1e34327cd8004da9a3600fd8b7b68ba7aba12388f05faf22a00ae3e6b,短路阻抗和负载损耗测量（例行试验） 负载损耗Pₖ（kW）：≤2.185,transformer-01-b8b08b984c56:ac80eb810d942c15f95b76a3,required_1,e3deef2dc2419f9d368b0ae5076c2d105a070a626006c0d71b76ca33ea90c5f1,GB/T 6451-2023,3,table,fallback,{},,,not_recalled
5e26e725fda7afca5307b3e5426158f8abfd844c326110b813faec767f03f396,短路阻抗和负载损耗测量（例行试验） 短路阻抗Zₖ（%）：4（1±10%）,transformer-01-b8b08b984c56:256c8173b6e468b0444f5af6,required_1,e3deef2dc2419f9d368b0ae5076c2d105a070a626006c0d71b76ca33ea90c5f1,GB/T 6451-2023,3,table,fallback,"{""lexical:production:table"": 20}",67,9,reranked_9_30
5e26e725fda7afca5307b3e5426158f8abfd844c326110b813faec767f03f396,短路阻抗和负载损耗测量（例行试验） 短路阻抗Zₖ（%）：4（1±10%）,transformer-01-b8b08b984c56:256c8173b6e468b0444f5af6,required_1,c0f249470732d606a0a47d14f9b9a1064db5f24adc8bb081502e0fd73227aa1d,JB/T 501-2021,7,table,fallback,"{""dense:production:table"": 4, ""lexical:production:table"": 2}",4,26,reranked_9_30
4e873730dc1eb1f2c65fe538c67fc25c9964e56e10cb2df67fd4c7264d492be8,外施耐压试验（AV）（例行试验） 高压对低压及地试验电压（kV）：35,transformer-01-b8b08b984c56:8c9484759ee9f5a221039bd6,required_1,e05945ebd9f4e0ea171b6b0d9f0c992228bfe2aba0bb1c264db1dd4372fcabe8,GB/T 1094.3-2017,2,table,fallback,"{""dense:production:table"": 9, ""lexical:production:table"": 4}",9,5,top8
4e873730dc1eb1f2c65fe538c67fc25c9964e56e10cb2df67fd4c7264d492be8,外施耐压试验（AV）（例行试验） 高压对低压及地试验电压（kV）：35,transformer-01-b8b08b984c56:8c9484759ee9f5a221039bd6,required_1,76c4e8530c5f6ad181e3256760859a44b10f566e2e8975e6c515fa5dcd048d0f,JB/T 501-2021,11,table,fallback,"{""dense:production:table"": 4, ""lexical:production:table"": 14}",14,8,top8
e01b851878d5db20cc3cc48185f1b3928c488d305fd53364867cb36145831201,外施耐压试验（AV）（例行试验） 高压对低压及地持续时间（s）：60,transformer-01-b8b08b984c56:2befcfd6d6447f22dea87db7,required_1,948260756186d5b8e2eea4cfba0210fcc1f8e1f4b5895de8ecc31aa07132cbb8,GB/T 1094.3-2017,10,section,fallback,"{""dense:production:section"": 1, ""lexical:production:section"": 1}",1,1,top8
7b4cabd24f7f575c5dfee60bd2a3a93eda2e690c46daae9dae17c06349a7270b,外施耐压试验（AV）（例行试验） 低压对高压及地试验电压（kV）：5,transformer-01-b8b08b984c56:e1762747c317edf0c582eb52,required_1,e05945ebd9f4e0ea171b6b0d9f0c992228bfe2aba0bb1c264db1dd4372fcabe8,GB/T 1094.3-2017,2,table,fallback,"{""dense:production:table"": 8, ""lexical:production:table"": 7}",12,1,top8
7b4cabd24f7f575c5dfee60bd2a3a93eda2e690c46daae9dae17c06349a7270b,外施耐压试验（AV）（例行试验） 低压对高压及地试验电压（kV）：5,transformer-01-b8b08b984c56:e1762747c317edf0c582eb52,required_1,76c4e8530c5f6ad181e3256760859a44b10f566e2e8975e6c515fa5dcd048d0f,JB/T 501-2021,11,table,fallback,"{""dense:production:table"": 5, ""lexical:production:table"": 14}",14,2,top8
20dab1436e0e543fdf14b7bff87b4b36d722ede526c3b5212e524a704b65e7dc,外施耐压试验（AV）（例行试验） 低压对高压及地持续时间（s）：60,transformer-01-b8b08b984c56:e0ebc1e3267223811a8b1bf8,required_1,948260756186d5b8e2eea4cfba0210fcc1f8e1f4b5895de8ecc31aa07132cbb8,GB/T 1094.3-2017,10,section,fallback,"{""dense:production:section"": 1, ""lexical:production:section"": 1}",1,1,top8
f257df9c82f07b8ce82765793958d329169414a29d06c667cdf8570f5292af89,外施耐压试验（AV）（例行试验） 试验电压应不出现突然下降,transformer-01-b8b08b984c56:44d70c47e7de033b63277164,required_1,948260756186d5b8e2eea4cfba0210fcc1f8e1f4b5895de8ecc31aa07132cbb8,GB/T 1094.3-2017,10,section,fallback,"{""dense:production:section"": 1, ""lexical:production:section"": 1}",1,1,top8
0eba9b8365c8f3de718af65906cfe2f8d4b8829aee1e3535639ec00f18f23ea8,感应耐压试验（IVW）（例行试验） 试验频率（Hz）：＞50,transformer-01-b8b08b984c56:c12d3560702c16ee270b03fb,required_1,29262350048235c71caa429a2970919a18a62070c0a41a48b4c4daea66068019,GB/T 1094.3-2017,11.2,section,rewritten,"{""dense:production:section"": 1, ""dense:semantic:section"": 1, ""lexical:production:section"": 1}",1,1,top8
0eba9b8365c8f3de718af65906cfe2f8d4b8829aee1e3535639ec00f18f23ea8,感应耐压试验（IVW）（例行试验） 试验频率（Hz）：＞50,transformer-01-b8b08b984c56:c12d3560702c16ee270b03fb,required_1,e8289241eb1a38cc6c9d5a5794f8d7522912d1e634bce8d81e4113cacc6eafb2,GB/T 1094.3-2017,11.1,section,rewritten,"{""dense:production:section"": 6, ""dense:semantic:section"": 4}",22,10,reranked_9_30
74b1d0099009c266dbe49f3f222244b21a7e33e140ad0a5331988027dac9119c,感应耐压试验（IVW）（例行试验） 持续时间（s）：15≤t≤60,transformer-01-b8b08b984c56:3c8a66eec76b0ec5895436bd,required_1,29262350048235c71caa429a2970919a18a62070c0a41a48b4c4daea66068019,GB/T 1094.3-2017,11.2,section,rewritten,"{""dense:keyword:section"": 1, ""dense:production:section"": 1, ""dense:semantic:section"": 1, ""lexical:keyword:section"": 1, ""lexical:production:section"": 1}",1,1,top8
c7ce3ce6cfcee9b9f2b13cc73e02b5390dedd45d71547ae1b34300da1a1fd697,感应耐压试验（IVW）（例行试验） 试验电压应不出现突然下降,transformer-01-b8b08b984c56:f3652639644d4158533eeaf3,required_1,29262350048235c71caa429a2970919a18a62070c0a41a48b4c4daea66068019,GB/T 1094.3-2017,11.2,section,fallback,"{""dense:production:section"": 1, ""lexical:production:section"": 1}",1,1,top8
aece8f4608af7087819c0da70125fd353da858fb6eede9b9fb73bf171e36934c,绝缘液试验（例行试验） 击穿电压（kV）：≥40,transformer-01-b8b08b984c56:0ad1407ad14c516c9d87b3d7,required_1,4eaf821782754592b95083429e1781d50229c43cda04c3d255e0820827dae534,JB/T 501-2021,2,table,rewritten,"{""dense:keyword:table"": 1, ""dense:production:table"": 1, ""dense:semantic:table"": 1, ""lexical:keyword:table"": 1, ""lexical:production:table"": 1}",1,5,top8
6ad100e425bbd870e4c0160a3450e3ecd4ac27931da20e50bdba2d983bf56ccb,绝缘液试验（例行试验） 介质损耗因数tanδ(90℃)(%)：≤1.0,transformer-01-b8b08b984c56:6db8b452ffc0cf03b8a19ca1,required_1,32a0ee2a4724791d41445675b3fa64cad344e66d0c10a91a540d1c124348ba0c,GB/T 5654-2007,11,section,rewritten,"{""dense:production:section"": 7, ""dense:semantic:section"": 6}",27,1,top8
6ad100e425bbd870e4c0160a3450e3ecd4ac27931da20e50bdba2d983bf56ccb,绝缘液试验（例行试验） 介质损耗因数tanδ(90℃)(%)：≤1.0,transformer-01-b8b08b984c56:6db8b452ffc0cf03b8a19ca1,required_1,d07a1549225acaaea60adca68b51ee97dd819c423b7fa70fba0f3df7454fa381,JB/T 501-2021,1,table,rewritten,"{""lexical:production:table"": 3}",60,11,reranked_9_30
94fd47f42a9cb1993754429f29781842007cfd43384de8cf2609100e8c718da5,压力密封试验（例行试验） 施加压力（kPa）：20,transformer-01-b8b08b984c56:1cb739d7a5102b83d1515c8f,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,rewritten,"{""dense:production:section"": 20, ""dense:semantic:section"": 14, ""lexical:production:section"": 14}",20,3,top8
9739cd10115f83cfe6e7e1cfdcd13a130a8bdfda68e31df2c36bf39ff35ad314,压力密封试验（例行试验） 持续时间（h）：12,transformer-01-b8b08b984c56:6620ef7f908e0191e3d549dc,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,rewritten,"{""dense:production:section"": 24, ""dense:semantic:section"": 15, ""lexical:production:section"": 23}",20,2,top8
6704b7e21aabd68afad9c0face171f4d17ee56c42522cf76df0c3dbfa2f276a0,线端雷电全波冲击试验（LI）（型式试验） 高压线端全波电压(kV)：-75（1±3％）,transformer-01-b8b08b984c56:9d8aebaf1d19506452650960,required_1,c383f3f76a093d1fa601d48c3979faa59ce0733868316988ea9b04df46f4e43e,GB/T 1094.3-2017,13.2,section,rewritten,"{""dense:production:section"": 4, ""dense:semantic:section"": 4, ""lexical:production:section"": 1}",3,2,top8
6704b7e21aabd68afad9c0face171f4d17ee56c42522cf76df0c3dbfa2f276a0,线端雷电全波冲击试验（LI）（型式试验） 高压线端全波电压(kV)：-75（1±3％）,transformer-01-b8b08b984c56:9d8aebaf1d19506452650960,required_1,e05945ebd9f4e0ea171b6b0d9f0c992228bfe2aba0bb1c264db1dd4372fcabe8,GB/T 1094.3-2017,2,table,rewritten,"{""dense:production:table"": 13, ""dense:semantic:table"": 14, ""lexical:production:table"": 7}",21,7,top8
0bc072acf8d6a6a9b0f9bb21656f01c555f96eaea1ffb2b3197db35d54fc94c6,线端雷电全波冲击试验（LI）（型式试验） 在降低电压和全电压下的波形图比较应无明显差异,transformer-01-b8b08b984c56:fb4daf44002e49198f57504f,required_1,c383f3f76a093d1fa601d48c3979faa59ce0733868316988ea9b04df46f4e43e,GB/T 1094.3-2017,13.2,section,fallback,"{""dense:production:section"": 3, ""lexical:production:section"": 1}",1,1,top8
0bc072acf8d6a6a9b0f9bb21656f01c555f96eaea1ffb2b3197db35d54fc94c6,线端雷电全波冲击试验（LI）（型式试验） 在降低电压和全电压下的波形图比较应无明显差异,transformer-01-b8b08b984c56:fb4daf44002e49198f57504f,required_1,3174cdf331f5c74c87773bbcfd123a5509834b03fb06e2ac1e0cdea044d9847c,GB/T 1094.4-2005,9.1,section,fallback,"{""dense:production:section"": 19, ""lexical:production:section"": 6}",23,5,top8
941b9bb9e6d3c56e7cdf9d22f14e72d24a84f018e1672d9ae7800a04b8f22b07,温升试验（型式试验） 顶层油温升（K）：≤55,transformer-01-b8b08b984c56:7c88a19d95f3fafadbe39d6a,required_1,b31cb73b97281c2b850cbabcdba8b5ed311c6141039e5ad82cccdf4ccae92d50,GB/T 6451-2023,12.1,section,rewritten,"{""dense:keyword:section"": 21, ""dense:production:section"": 15, ""dense:semantic:section"": 19, ""lexical:keyword:section"": 5, ""lexical:production:section"": 5}",14,1,top8
25a8bdcdd1cf78bc30b486cda325b722d3e67756b747244f4fc89d631f91b75f,温升试验（型式试验） 高压绕组平均温升（K）：≤60,transformer-01-b8b08b984c56:b9602aafd9390bcd5a02792b,required_1,4d3796fe82b2586a30093dd6fa8a391644256a9b3adc5c9a8e6c12374e3e29e1,JB/T 501-2021,23,table,rewritten,"{""dense:production:table"": 3, ""dense:semantic:table"": 3, ""lexical:production:table"": 15}",9,4,top8
0d0ea525a660b3bdca4ebdcfef644aa2766bb34bc7e07a74454f601f9a281c39,温升试验（型式试验） 低压绕组平均温升（K）：≤60,transformer-01-b8b08b984c56:e477175923d03f3adef096ea,required_1,4d3796fe82b2586a30093dd6fa8a391644256a9b3adc5c9a8e6c12374e3e29e1,JB/T 501-2021,23,table,rewritten,"{""dense:keyword:table"": 3, ""dense:production:table"": 3, ""dense:semantic:table"": 3, ""lexical:keyword:table"": 15, ""lexical:production:table"": 15}",9,7,top8
9a57bfe3221220bc77318a2da7581a58f986ba03f279cabf259415cf83491e9f,温升试验（型式试验） 油箱波纹散热器变形应在规定范围内,transformer-01-b8b08b984c56:ee25ef8fde4322c7a44c718e,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,fallback,"{""dense:production:section"": 18, ""lexical:production:section"": 4}",15,5,top8
cb883f84b9f3c1b49834846bde5827c76dbc6272dcee20fd520e57e8c541ccc2,短时过负载能力试验（型式试验） 压力保护装置应不动作,transformer-01-b8b08b984c56:7d15822d72b6104f0417464d,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,fallback,"{""lexical:production:section"": 4}",27,4,top8
6e07b8248dd9a6187db9abbc48ff3f312a8ea8d98102c9e072e336f7f39d1f70,短时过负载能力试验（型式试验） 油箱密封应无渗漏,transformer-01-b8b08b984c56:903f25984e97d5bf2e8a7412,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,fallback,"{""dense:production:section"": 9, ""lexical:production:section"": 2}",4,1,top8
4f43a90ec7ce7103c862e9b5c26e1efe490f86ec87364789ebec7c15126cb0aa,短时过负载能力试验（型式试验） 油箱波纹散热器变形应在规定范围内,transformer-01-b8b08b984c56:88d946005fc7e9642c6b0ca8,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,fallback,"{""dense:production:section"": 7, ""lexical:production:section"": 2}",4,5,top8
5a0dd865c3173af89c74f66fe0236f9eef09007862cc6114f91edd746a09cd9f,短时过负载能力试验（型式试验） 油箱外壳最高温升(K)：≤85,transformer-01-b8b08b984c56:7add67585b48415838ea1241,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,rewritten,"{""dense:keyword:section"": 16, ""dense:production:section"": 20, ""dense:semantic:section"": 30, ""lexical:keyword:section"": 2, ""lexical:production:section"": 2}",10,5,top8
485db455e199dade0097051b8e1e32d4b7ebd1db89b7203ceee1a351ccee7205,短时过负载能力试验（型式试验） 套管最高温升(K)：≤85,transformer-01-b8b08b984c56:a58729fab762006944909de4,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,rewritten,"{""lexical:keyword:section"": 4, ""lexical:production:section"": 4}",53,5,top8
4891b4a4792da3fa664a4538ac8a1d4dc06bfe7c3cbadd46eb0e361e1583c70a,声级测定（特殊试验） 测量距离X(m)：0.3,transformer-01-b8b08b984c56:5d088723ae1f2581e42cc464,required_1,7b8e566ef426e62ce317938dc72bcdab30e7f783560cc33fe33b9df18eede9db,GB/T 1094.10-2022,8,section,rewritten,"{""dense:keyword:section"": 19, ""dense:production:section"": 20, ""dense:semantic:section"": 15, ""lexical:keyword:section"": 4, ""lexical:production:section"": 4}",10,5,top8
1a5580b27abcd2dfe6173a7364b171dc5d4d8ee498c008ec9af5496b96b2e515,声级测定（特殊试验） 声功率级Lwₐ[dB(A)]：≤44,transformer-01-b8b08b984c56:aa238d0c596facc857563688,required_1,a73656707dda8bc477f1ff6b98931a15c40cd169aabf9b4ddd6d8ebc22fcc25b,GB/T 25438-2010,2,table,rewritten,"{""dense:keyword:table"": 23, ""dense:production:table"": 22, ""dense:semantic:table"": 15, ""lexical:keyword:table"": 5, ""lexical:production:table"": 5}",19,2,top8
01a4bc9c7fe9d25466c05ca9a1b54a871faace37a70cffcc5e4fc88b156d29b7,声级测定（特殊试验） 应无损伤：/,transformer-01-b8b08b984c56:2e77ebfb61de403e49100e63,required_1,0eac6603a966ceeb379ef9955bf0ca0e36b676d751d353dc7a854c67162fa67d,GB/T 1094.5-2008,1,section,rewritten,"{""lexical:keyword:section"": 1, ""lexical:production:section"": 1}",58,21,reranked_9_30
01a4bc9c7fe9d25466c05ca9a1b54a871faace37a70cffcc5e4fc88b156d29b7,声级测定（特殊试验） 应无损伤：/,transformer-01-b8b08b984c56:2e77ebfb61de403e49100e63,required_1,51d73d441bb791d06bdf99cda6ce3a333cfbb677dda9d1a4332853a8e8f271ed,GB/T 1094.5-2008,3.1,section,rewritten,"{""lexical:keyword:section"": 2, ""lexical:production:section"": 2}",60,78,reranked_below_30
94516999adb9744e6dcf412015e3d29304d3a79f81fb303a4446cd45a81bbcf3,短路承受能力试验（特殊试验） 应符合短路承受能力试验的各项要求,transformer-01-b8b08b984c56:42ee062c06f4f157bbfe4555,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 4, ""lexical:production:section"": 11}",9,2,top8
17da5282cdb1bef5df7f171cb3057fcc3d285eeb5cecd0b5e0e84ad1c625b35d,短路承受能力试验施加电流及相电抗测量 试验次数：9,transformer-01-b8b08b984c56:9f86881f2930d429c99c80ef,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 2, ""lexical:production:section"": 10}",6,2,top8
057ffa2979b2aaab7542b810df8a3fa185daa89ddeb3ae80a1617a46226ab3f8,短路承受能力试验施加电流及相电抗测量 持续时间(s)：0.5,transformer-01-b8b08b984c56:28ddec95f5234454796fa955,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 5, ""lexical:production:section"": 12}",9,2,top8
44bbd9a59d0246ea03a55b51efbb38d132d2a37717651e89f4a5ce0a2ec2dcaf,短路承受能力试验施加电流及相电抗测量 试验电压、电流波形及试验期间检查应无异常迹象,transformer-01-b8b08b984c56:336810b33c2381098f413a2e,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 1, ""lexical:production:section"": 5}",2,1,top8
9680a0875faed88f1bfc0a720d4c1bd00cc1ef379e9f961e095b365915162912,短路承受能力试验后检查 吊心检查应无明显缺陷：/,transformer-01-b8b08b984c56:90236554e0ae82bd75f77aec,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 3, ""lexical:production:section"": 3}",1,12,reranked_9_30
96fc59aa59279ddc3bd9ad4f086ac5b7534a7018c1844e2bb724c5d276dbbe78,短路承受能力试验后检查 内部无放电痕迹：/,transformer-01-b8b08b984c56:3abc7a76e19585d0cfa24b30,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,rewritten,"{""dense:keyword:section"": 2, ""dense:production:section"": 7, ""dense:semantic:section"": 1, ""lexical:keyword:section"": 6, ""lexical:production:section"": 6}",6,9,reranked_9_30
747dedf9dd0d1089f5a36851c91c5e5b8c7abc8edfa122921aaf0d3621ae7d66,短路承受能力试验后检查 外观检擦无异常,transformer-01-b8b08b984c56:368703eace958f387967a3e0,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 1, ""lexical:production:section"": 6}",6,11,reranked_9_30
e3394addfb16c4cbd473ae164f35b002a558448c1d8812474ad5efdb01670b92,短路承受能力试验后检查 重复例行试验及雷电冲击试验应合格,transformer-01-b8b08b984c56:4ac7be657820a0901f54545d,required_1,b90ad456555b9c30229f032c422bf9c36a4af96627ad701e7f94dce1fb623451,GB/T 1094.5-2008,4.2,section,fallback,"{""dense:production:section"": 22, ""lexical:production:section"": 10}",16,1,top8
6c8c7b438255842b4d4a73c7dd46f5ec9281f9ca24c8a176add03e4b0effa37a,绕组电阻测量（重复例行试验） 高压（线）电阻三相不平衡率最大值(%)：≤2,transformer-01-b8b08b984c56:a2a8e9f215db6c6e47abb039,required_1,fae6b0813b2faa2aa03140ef6f8aeb0f8a68fcd824a7288ac4ec7d4a911642b8,JB/T 501-2021,6,table,fallback,"{""dense:production:table"": 1, ""lexical:production:table"": 2}",2,10,reranked_9_30
a164957d2260dcf65e64dccea4e6bce9c2901b9b1af1ec4587911ff961225b00,绕组电阻测量（重复例行试验） 低压（线）电阻三相不平衡率(%)：≤2,transformer-01-b8b08b984c56:148ad0079b7356daf60a1b15,required_1,fae6b0813b2faa2aa03140ef6f8aeb0f8a68fcd824a7288ac4ec7d4a911642b8,JB/T 501-2021,6,table,rewritten,"{""dense:keyword:table"": 1, ""dense:production:table"": 1, ""dense:semantic:table"": 1, ""lexical:keyword:table"": 1, ""lexical:production:table"": 1}",2,15,reranked_9_30
7da206303b61ab3e2f2edea9e4e1491c53b3a65370ee2de72ddfe93a99f2437f,绕组电阻测量（重复例行试验） 低压（相）电阻三相不平衡率最大值(%)：≤4,transformer-01-b8b08b984c56:43845a36524e2dd8737e76d1,required_1,fae6b0813b2faa2aa03140ef6f8aeb0f8a68fcd824a7288ac4ec7d4a911642b8,JB/T 501-2021,6,table,rewritten,"{""dense:keyword:table"": 1, ""dense:production:table"": 1, ""dense:semantic:table"": 1, ""lexical:keyword:table"": 2, ""lexical:production:table"": 2}",2,5,top8
